timestamp,action,ticker,price,shares,reason,reason_kr,extra,mode
2026-08-20T23:31:01.952481,SELL_US,PATH,15.550000190734863,22,emergency_carryover_close,이월 포지션 비상매도,pnl_krw=-10897,MOCK
2026-08-20T23:31:07.217880,BUY_US,NOK,10.07509994506836,35,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
